category,type,lon,lat,name,suburb
Fitness Routines,Fitness / Gymnasium Workouts,143.263751,-36.23150304,CrossFit Narre Warren,CHARLTON
Fitness Routines,Fitness / Gymnasium Workouts,142.56990851,-37.87739724,Fernwood Women's Health Clubs,CHATSWORTH
Fitness Routines,Fitness / Gymnasium Workouts,145.13321304,-38.05267599,Fit Gym ,CHELSEA
Fitness Routines,Fitness / Gymnasium Workouts,145.13351216,-38.02538389,Freeway Sports,CHELSEA HEIGHTS
Fitness Routines,Fitness / Gymnasium Workouts,145.0284549,-37.96272581,Blue Water Fitness Centre ,CHELTENHAM
Fitness Routines,Fitness / Gymnasium Workouts,143.53442403,-37.59163504,Colac Squash & Fitness Centre,CHEPSTOWE
Fitness Routines,Fitness / Gymnasium Workouts,144.63295423,-37.40433131,Curves Colac,CHEROKEE
Fitness Routines,Fitness / Gymnasium Workouts,142.25919601,-37.14238501,Alphonsa Fitness Centre & Jym,CHERRYPOOL
Fitness Routines,Fitness / Gymnasium Workouts,146.47022699,-36.742661,Dandenong Oasis,CHESHUNT
Fitness Routines,Fitness / Gymnasium Workouts,146.40335378,-36.93585741,Dandenong Squash & Leisure,CHESHUNT SOUTH
Fitness Routines,Fitness / Gymnasium Workouts,146.017668,-36.37165804,Doherty's 24 Hour Gym Dandenong,CHESNEY VALE
Fitness Routines,Fitness / Gymnasium Workouts,141.48191999,-37.2975182,Noble Park Aquatic Centre,CHETWYND
Fitness Routines,Fitness / Gymnasium Workouts,144.22670331,-37.08525747,Sandown Indoor Tennis & Sports Centre,CHEWTON
Fitness Routines,Fitness / Gymnasium Workouts,144.28189404,-37.07972402,Bairnsdale Aquatic & Recreation Centre,CHEWTON BUSHLANDS
Fitness Routines,Fitness / Gymnasium Workouts,146.12022196,-38.33251297,Curves Bairnsdale,CHILDERS
Fitness Routines,Fitness / Gymnasium Workouts,143.03131103,-35.24913902,Lakes Aquadome,CHILLINGOLLAH
Fitness Routines,Fitness / Gymnasium Workouts,146.52279101,-36.17146178,Totally Pumped Group fitness Studio,CHILTERN
Fitness Routines,Fitness / Gymnasium Workouts,146.58936101,-36.13177904,Totally pumped health and Fitness,CHILTERN VALLEY
Fitness Routines,Fitness / Gymnasium Workouts,143.15612397,-35.49080102,Beach House Health & Fitness Frankston,CHINANGIN
Fitness Routines,Fitness / Gymnasium Workouts,142.96138503,-35.11394003,Beachside Fitness Centre Seaford,CHINKAPOOK
Fitness Routines,Fitness / Gymnasium Workouts,144.81842252,-37.42669756,Contours Langwarrin,CHINTIN
Fitness Routines,Fitness / Gymnasium Workouts,145.29340182,-37.71218667,Core Health Club,CHIRNSIDE PARK
Fitness Routines,Fitness / Gymnasium Workouts,143.163305,-36.19554397,Curves Frankston,CHIRRIP
Fitness Routines,Fitness / Gymnasium Workouts,143.213068,-38.22943999,Deeki Body Tone,CHOCOLYN
Fitness Routines,Fitness / Gymnasium Workouts,145.33559858,-37.68209055,Energym Health & Fitness,CHRISTMAS HILLS
Fitness Routines,Fitness / Gymnasium Workouts,145.45974671,-37.60469995,Goodlife Karingal,CHUM CREEK
Fitness Routines,Fitness / Gymnasium Workouts,146.41608798,-38.29379301,Monash University,CHURCHILL
Fitness Routines,Fitness / Gymnasium Workouts,145.34459883,-38.50771358,Snap Fitness Frankston,CHURCHILL ISLAND
Fitness Routines,Fitness / Gymnasium Workouts,143.46282899,-37.32985703,Anytime Fitness Bell,CHUTE
Fitness Routines,Fitness / Gymnasium Workouts,143.95244501,-37.71618697,Anytime Fitness Bell Post Hill,CLARENDON
Fitness Routines,Fitness / Gymnasium Workouts,144.03710303,-37.49409504,Anytime Fitness Grovedale,CLARETOWN
Fitness Routines,Fitness / Gymnasium Workouts,145.09716704,-37.94445801,Barwon Bliss Mind Body Fit,CLARINDA
Fitness Routines,Fitness / Gymnasium Workouts,144.72672514,-37.43645776,Barwon Heads Boxing and Fitness,CLARKEFIELD
Fitness Routines,Fitness / Gymnasium Workouts,143.97810941,-37.51820992,Bellarine Aquatic and Fitness Centre,CLARKES HILL
Fitness Routines,Fitness / Gymnasium Workouts,145.14753809,-37.9271826,C-Change Training Studio,CLAYTON
Fitness Routines,Fitness / Gymnasium Workouts,145.14170184,-37.931386,Club Exec,CLAYTON SOUTH
Fitness Routines,Fitness / Gymnasium Workouts,141.80389601,-36.97010699,Club Exec Geelong,CLEAR LAKE
Fitness Routines,Fitness / Gymnasium Workouts,145.41966552,-37.92623699,Contours East Geelong,CLEMATIS
Fitness Routines,Fitness / Gymnasium Workouts,147.66837901,-37.67527696,Contours Geelong West,CLIFTON CREEK
Fitness Routines,Fitness / Gymnasium Workouts,144.98514304,-37.79389603,Contours Ocean Grove,CLIFTON HILL
Fitness Routines,Fitness / Gymnasium Workouts,144.54907958,-38.15599517,Corio Bay Sports Medicine Centre,CLIFTON SPRINGS
Fitness Routines,Fitness / Gymnasium Workouts,145.22227252,-37.47259932,Crossfit Geelong,CLONBINANE
Fitness Routines,Fitness / Gymnasium Workouts,141.52462144,-37.60191273,Curves Drysdale,CLOVER FLAT
Fitness Routines,Fitness / Gymnasium Workouts,145.99517826,-38.2052023,Curves Lara,CLOVERLEA
Fitness Routines,Fitness / Gymnasium Workouts,149.03460949,-37.63662471,Fernwood - Waurn Ponds,CLUB TERRACE
Fitness Routines,Fitness / Gymnasium Workouts,143.82688255,-37.3408978,Figures,CLUNES
Fitness Routines,Fitness / Gymnasium Workouts,145.34221599,-38.18399696,Goodlife Geelong,CLYDE
Fitness Routines,Fitness / Gymnasium Workouts,145.32489502,-38.08830728,Leisurelink aquatic and recreation centre,CLYDE NORTH
Fitness Routines,Fitness / Gymnasium Workouts,147.26389696,-38.04391525,Main Event Fitness,CLYDEBANK
Fitness Routines,Fitness / Gymnasium Workouts,144.06633751,-37.18702086,Snap Fitness Waurn Ponds,CLYDESDALE
Fitness Routines,Fitness / Gymnasium Workouts,146.26695815,-38.232383,Splash Down,COALVILLE
Fitness Routines,Fitness / Gymnasium Workouts,147.07398997,-38.06804896,Water World,COBAINS
Fitness Routines,Fitness / Gymnasium Workouts,144.622824,-37.26121802,6 Degrees South Health & Fitness,COBAW
Fitness Routines,Fitness / Gymnasium Workouts,147.31554629,-37.707839,Australian Fitness Academy,COBBANNAH
Fitness Routines,Fitness / Gymnasium Workouts,147.9987618,-36.74392971,Bentleigh Fitness Centre,COBBERAS
Fitness Routines,Fitness / Gymnasium Workouts,144.58493401,-37.69406395,Caulfield Recreation Centre,COBBLEBANK
Fitness Routines,Fitness / Gymnasium Workouts,143.05217413,-38.38501264,CrossFit Carnegie,COBDEN
Fitness Routines,Fitness / Gymnasium Workouts,145.57403001,-35.89903798,EFM Health & Fitness Club,COBRAM
Fitness Routines,Fitness / Gymnasium Workouts,145.73169498,-35.99903799,Gecko Kids Fitness Caulfield,COBRAM EAST
Fitness Routines,Fitness / Gymnasium Workouts,143.02478099,-38.32550901,Genesis Caulfield,COBRICO
Fitness Routines,Fitness / Gymnasium Workouts,147.26116724,-37.06107643,Sage Institute of Fitness,COBUNGRA
Fitness Routines,Fitness / Gymnasium Workouts,144.98015615,-37.75729749,Dimboola Community Health & Fitness Centre,COBURG
Fitness Routines,Fitness / Gymnasium Workouts,144.98314404,-37.73597902,Rainbow Showgrounds Recreation Reserve,COBURG NORTH
Fitness Routines,Fitness / Gymnasium Workouts,142.85636801,-35.13528704,Bayfit Leisure Centre,COCAMBA
Fitness Routines,Fitness / Gymnasium Workouts,143.64030397,-36.678905,Beach House Health & Fitness Williamstown,COCHRANES CREEK
Fitness Routines,Fitness / Gymnasium Workouts,145.46919797,-37.92845302,Contours Altona North,COCKATOO
Fitness Routines,Fitness / Gymnasium Workouts,144.65743801,-37.91983402,Curves Altona,COCOROC
Fitness Routines,Fitness / Gymnasium Workouts,142.01563303,-38.27428398,Fernwood Altona,CODRINGTON
Fitness Routines,Fitness / Gymnasium Workouts,143.72858599,-37.39275898,Laverton Swim and Fitness Centre,COGHILLS CREEK
Fitness Routines,Fitness / Gymnasium Workouts,144.17991499,-35.81418003,Lifestyle Williamstown (Newport Park Leisure Centre),COHUNA
Fitness Routines,Fitness / Gymnasium Workouts,144.55622531,-37.55890031,Peyote Gym Williamstown,COIMADAI
Fitness Routines,Fitness / Gymnasium Workouts,143.19189397,-35.77287902,Run With Me Fitness Club Altona,COKUM
Fitness Routines,Fitness / Gymnasium Workouts,143.59788276,-38.26677591,Sweeney's Swim & Fitness Centre,COLAC
Fitness Routines,Fitness / Gymnasium Workouts,147.83686329,-36.18506921,Westgate Health and Fitness Club Altona North,COLAC COLAC
Fitness Routines,Fitness / Gymnasium Workouts,143.60466601,-38.34744899,Horsham Aquatic Centre,COLAC EAST
Fitness Routines,Fitness / Gymnasium Workouts,143.53059228,-38.31807419,Fitness Arena,COLAC WEST
Fitness Routines,Fitness / Gymnasium Workouts,144.72780899,-36.63454096,Sunbury Aquatic and Leisure Centre,COLBINABBIN
Fitness Routines,Fitness / Gymnasium Workouts,144.19645598,-37.54443099,Beechworth Squash and Fitness Centre,COLBROOK
Fitness Routines,Fitness / Gymnasium Workouts,145.49473403,-37.69036396,Anytime Fitness Cheltenham,COLDSTREAM
Fitness Routines,Fitness / Gymnasium Workouts,141.64722017,-37.64836315,Beach House Health & Fitness Chelsea Heights,COLERAINE
Fitness Routines,Fitness / Gymnasium Workouts,142.271085,-34.56184098,Don Tatnell Leisure Centre,COLIGNAN
Fitness Routines,Fitness / Gymnasium Workouts,144.98514304,-37.79389603,Fitness is Fun,COLLINGWOOD
Fitness Routines,Fitness / Gymnasium Workouts,148.87529866,-37.29801561,Goodlife Health Club Chelsea Heights,COMBIENBAR
