category,type,lon,lat,name,suburb
Organized Sports,Lawn Bowls,144.97321644,-37.6463267,Hampton R.S.L Bowling Club,EPPING
Organized Sports,Lawn Bowls,143.54979001,-37.45622598,Highett Bowls Club,ERCILDOUNE
Organized Sports,Lawn Bowls,148.67247297,-37.54502797,Royal Melbourne Golf Club,ERRINUNDRA
Organized Sports,Lawn Bowls,146.20109607,-36.08047399,Sandringham Bowls Club,ESMOND
Organized Sports,Lawn Bowls,144.90401199,-37.73458871,Benalla Bowls Club,ESSENDON FIELDS
Organized Sports,Lawn Bowls,144.87970705,-37.75284496,Moira Benalla Bowls Club,ESSENDON WEST
Organized Sports,Lawn Bowls,143.72305084,-38.12330631,Swanpool Bowling Club,EURACK
Organized Sports,Lawn Bowls,145.65128998,-36.74741903,Bendigo and District Family Equestrian Malone Park,EUROA
Organized Sports,Lawn Bowls,143.6935881,-37.28250093,Bendigo Bowling Club,EVANSFORD
Organized Sports,Lawn Bowls,146.49692938,-36.40981584,Bendigo East Bowling Club,EVERTON
Organized Sports,Lawn Bowls,144.52711081,-37.7082488,Bendigo Golf Bowling Club,EXFORD
Organized Sports,Lawn Bowls,145.90863982,-38.40427336,Bendigo VRI Bowling Club,FAIRBANK
Organized Sports,Lawn Bowls,144.09425333,-38.46858192,Eaglehawk Bowling Club,FAIRHAVEN
Organized Sports,Lawn Bowls,144.7267663,-36.29884372,Elmore Bowls Club,FAIRY DELL
Organized Sports,Lawn Bowls,144.29906198,-37.08103901,Heathcote Bowling Club,FARADAY
Organized Sports,Lawn Bowls,144.97870204,-37.71924973,Kangaroo Flat Bowling Club,FAWKNER
Organized Sports,Lawn Bowls,143.50309501,-38.65276099,Lockwood South Bowling Club,FERGUSON
Organized Sports,Lawn Bowls,147.27018821,-37.83809017,Marong Bowling Club,FERNBANK
Organized Sports,Lawn Bowls,143.88503818,-36.27824919,North Bendigo Bowling Club,FERNIHURST
Organized Sports,Lawn Bowls,145.30623655,-37.86901754,Strathfieldsaye Bowling Club,FERNTREE GULLY
Organized Sports,Lawn Bowls,144.62951681,-37.75383633,White Hills Bowls Club,FIELDSTONE
Organized Sports,Lawn Bowls,144.83001413,-38.41125071,Woodbury Bowling Club,FINGAL
Organized Sports,Lawn Bowls,143.78784906,-35.46459735,Ashburton Bowls Club,FISH POINT
Organized Sports,Lawn Bowls,144.98255291,-37.80892162,Auburn Bowls Club,FITZROY
Organized Sports,Lawn Bowls,147.47660004,-37.73096698,Burwood District Bowls Club,FLAGGY CREEK
Organized Sports,Lawn Bowls,147.3086463,-38.28595916,Camberwell Central Bowls Club,FLAMINGO BEACH
Organized Sports,Lawn Bowls,144.91337304,-38.48996923,Hawthorn Bowling Club,FLINDERS
Organized Sports,Lawn Bowls,145.2236499,-37.29423787,Kew Heights Sports Club,FLOWERDALE
Organized Sports,Lawn Bowls,146.62641191,-38.27422519,Melbourne Cricket Club Bowls Club,FLYNNS CREEK
Organized Sports,Lawn Bowls,144.85583907,-37.28551039,North Balwyn Bowls Club,FORBES
